experiment_id	id
Chromosome	xy05_53_10.140-30.110
Chromosome	xy05_54_10.034-29.022
Chromosome	xy05_54_13.035-17.080
Chromosome	xy05_54_13.035-21.005
Chromosome	xy05_55_10.131-29.054
Chromosome	xy05_55_11.130-19.116
Chromosome	xy05_55_15.137-22.029
Chromosome	xy05_56_10.222-29.279
Chromosome	xy05_56_15.283-18.272
Chromosome	xy05_57_10.116-27.198
Chromosome	xy05_58_10.170-26.063
Chromosome	xy05_59_10.163-26.066
Chromosome	xy05_59_14.190-20.156
Chromosome	xy05_59_15.183-19.149
Chromosome	xy05_6_10.043-34.017
Chromosome	xy05_60_10.141-26.150
Chromosome	xy05_61_10.087-25.005
Chromosome	xy05_62_10.189-25.145
Chromosome	xy05_63_10.073-24.025
Chromosome	xy05_63_11.092-18.093
Chromosome	xy05_63_15.116-17.128
Chromosome	xy05_64_10.111-24.027
Chromosome	xy05_64_15.128-18.148
Chromosome	xy05_65_10.056-24.036
Chromosome	xy05_65_13.053-18.051
Chromosome	xy05_65_13.053-19.022
Chromosome	xy05_66_10.135-24.071
Chromosome	xy05_67_10.149-24.132
Chromosome	xy05_67_14.185-19.177
Chromosome	xy05_68_10.072-23.004
Chromosome	xy05_69_10.112-23.014
Chromosome	xy05_69_14.107-20.101
Chromosome	xy05_7_10.157-34.018
Chromosome	xy05_70_10.055-23.024
Chromosome	xy05_70_15.058-17.057
Chromosome	xy05_71_10.137-23.057
Chromosome	xy05_72_10.150-23.066
Chromosome	xy05_73_10.145-23.102
Chromosome	xy05_73_15.188-17.188
Chromosome	xy05_73_15.188-20.164
Chromosome	xy05_74_10.029-22.002
Chromosome	xy05_75_10.015-22.019
Chromosome	xy05_75_12.016-20.000
Chromosome	xy05_75_15.009-19.002
Chromosome	xy05_76_10.049-22.028
Chromosome	xy05_76_15.045-18.037
Chromosome	xy05_77_10.167-22.045
Chromosome	xy05_78_10.122-22.049
Chromosome	xy05_79_10.153-22.083
Chromosome	xy05_79_15.214-22.110
Chromosome	xy05_8_10.013-34.019
Chromosome	xy05_8_15.023-18.023
Chromosome	xy05_80_10.203-22.101
Chromosome	xy05_80_14.236-20.224
Chromosome	xy05_81_10.207-22.106
Chromosome	xy05_81_13.278-20.199
Chromosome	xy05_82_10.240-22.139
Chromosome	xy05_82_14.284-18.297
Chromosome	xy05_83_10.012-21.001
Chromosome	xy05_84_10.045-21.002
Chromosome	xy05_85_10.016-21.018
Chromosome	xy05_85_13.016-18.025
Chromosome	xy05_86_10.083-21.033
Chromosome	xy05_87_10.059-21.044
Chromosome	xy05_87_13.046-17.034
Chromosome	xy05_88_10.096-21.046
Chromosome	xy05_88_14.092-20.074
Chromosome	xy05_88_15.091-17.090
Chromosome	xy05_89_10.105-21.065
Chromosome	xy05_89_15.105-19.094
Chromosome	xy05_9_10.064-34.020
Chromosome	xy05_9_13.061-20.002
Chromosome	xy05_9_14.059-23.026
Chromosome	xy05_90_10.221-21.165
Chromosome	xy05_91_10.018-20.004
Chromosome	xy05_91_15.019-20.012
Chromosome	xy05_92_10.005-20.006
Chromosome	xy05_93_10.077-20.040
Chromosome	xy05_93_11.075-19.057
Chromosome	xy05_94_10.054-20.046
Chromosome	xy05_94_13.055-17.040
Chromosome	xy05_95_10.047-20.061
Chromosome	xy05_95_11.049-19.042
Chromosome	xy05_95_15.073-18.072
Chromosome	xy05_96_10.078-20.067
Chromosome	xy05_97_10.113-20.079
Chromosome	xy05_98_10.073-20.083
Chromosome	xy05_99_10.110-20.097
Chromosome	xy06_1_10.050-34.000
Chromosome	xy06_1_12.048-20.009
Chromosome	xy06_1_15.039-22.011
Chromosome	xy06_10_10.126-34.023
Chromosome	xy06_100_10.121-17.160
Chromosome	xy06_101_10.156-17.185
Chromosome	xy06_101_15.174-17.206
Chromosome	xy06_102_10.151-17.189
Chromosome	xy06_103_10.131-17.199
Chromosome	xy06_104_10.170-17.208
Chromosome	xy06_104_14.185-17.214
Chromosome	xy06_104_14.185-17.216
Chromosome	xy06_105_10.142-17.213
Chromosome	xy06_11_10.113-34.024
Chromosome	xy06_12_10.060-34.027
Chromosome	xy06_13_10.072-34.036
Chromosome	xy06_13_14.065-34.037
Chromosome	xy06_14_10.071-34.042
Chromosome	xy06_14_13.075-20.056
Chromosome	xy06_15_10.088-34.047
Chromosome	xy06_15_13.102-17.129
Chromosome	xy06_16_10.108-34.048
Chromosome	xy06_17_10.089-34.051
Chromosome	xy06_18_10.096-34.054
Chromosome	xy06_19_10.007-34.058
Chromosome	xy06_19_14.010-17.002
Chromosome	xy06_2_10.077-34.001
Chromosome	xy06_20_10.094-34.062
Chromosome	xy06_20_13.090-18.091
Chromosome	xy06_20_13.090-19.074
Chromosome	xy06_21_10.087-34.065
Chromosome	xy06_22_10.097-34.077
Chromosome	xy06_23_10.129-34.078
Chromosome	xy06_23_11.132-17.171
Chromosome	xy06_23_13.138-17.182
Chromosome	xy06_24_10.118-34.090
Chromosome	xy06_24_12.126-34.174
Chromosome	xy06_24_15.148-17.156
Chromosome	xy06_25_10.154-34.091
Chromosome	xy06_26_10.095-34.096
Chromosome	xy06_27_10.141-34.101
Chromosome	xy06_28_10.135-34.114
Chromosome	xy06_28_15.154-34.193
Chromosome	xy06_29_10.112-34.116
Chromosome	xy06_29_14.125-18.102
Chromosome	xy06_3_10.092-34.002
Chromosome	xy06_30_10.136-34.118
Chromosome	xy06_31_10.147-34.140
Chromosome	xy06_31_15.178-18.147
Chromosome	xy06_32_10.114-34.141
Chromosome	xy06_33_10.124-34.145
Chromosome	xy06_34_10.140-34.150
Chromosome	xy06_34_14.145-27.129
Chromosome	xy06_34_14.145-30.155
Chromosome	xy06_34_15.157-23.105
Chromosome	xy06_35_10.149-34.157
Chromosome	xy06_35_15.169-20.115
Chromosome	xy06_36_10.160-34.158
Chromosome	xy06_37_10.150-34.159
Chromosome	xy06_38_10.159-33.185
Chromosome	xy06_38_14.177-17.204
Chromosome	xy06_38_14.177-23.113
Chromosome	xy06_38_15.183-17.205
Chromosome	xy06_38_15.185-17.207
Chromosome	xy06_39_10.064-31.016
Chromosome	xy06_4_10.098-34.004
Chromosome	xy06_4_14.111-20.054
Chromosome	xy06_40_10.079-29.077
Chromosome	xy06_41_10.111-29.103
Chromosome	xy06_41_12.117-17.130
Chromosome	xy06_42_10.119-27.092
Chromosome	xy06_42_14.138-18.132
Chromosome	xy06_43_10.103-26.097
Chromosome	xy06_44_10.122-25.034
Chromosome	xy06_44_13.122-20.101
Chromosome	xy06_45_10.054-24.004
Chromosome	xy06_46_10.070-24.022
Chromosome	xy06_47_10.125-24.053
Chromosome	xy06_47_12.124-23.041
Chromosome	xy06_48_10.166-24.075
Chromosome	xy06_49_10.057-23.000
Chromosome	xy06_49_15.041-22.020
Chromosome	xy06_5_10.051-34.005
Chromosome	xy06_5_14.034-17.052
Chromosome	xy06_5_14.034-18.017
Chromosome	xy06_50_10.053-23.004
Chromosome	xy06_51_10.035-23.013
Chromosome	xy06_52_10.056-23.018
Chromosome	xy06_52_12.072-23.042
Chromosome	xy06_52_13.081-20.067
Chromosome	xy06_52_15.068-23.031
Chromosome	xy06_52_15.086-18.085
Chromosome	xy06_52_15.086-19.048
Chromosome	xy06_53_10.107-23.063
Chromosome	xy06_53_14.102-21.037
Chromosome	xy06_54_10.106-23.073
Chromosome	xy06_55_10.146-23.091
Chromosome	xy06_56_10.009-22.007
Chromosome	xy06_56_11.006-19.000
Chromosome	xy06_56_15.011-17.022
Chromosome	xy06_57_10.138-22.119
Chromosome	xy06_57_13.143-20.129
Chromosome	xy06_57_15.161-18.145
Chromosome	xy06_58_10.010-21.006
Chromosome	xy06_58_14.001-19.001
Chromosome	xy06_59_10.082-21.024
Chromosome	xy06_6_10.029-34.006
Chromosome	xy06_6_15.040-23.007
Chromosome	xy06_60_10.105-21.063
Chromosome	xy06_60_13.108-17.135
Chromosome	xy06_61_10.163-21.115
Chromosome	xy06_62_10.151-21.120
Chromosome	xy06_63_10.165-21.121
Chromosome	xy06_63_12.176-20.128
Chromosome	xy06_63_14.184-17.215
Chromosome	xy06_64_10.012-20.001
Chromosome	xy06_65_10.017-20.006
Chromosome	xy06_66_10.041-20.015
Chromosome	xy06_67_10.078-20.029
Chromosome	xy06_67_13.068-19.046
Chromosome	xy06_68_10.074-20.033
Chromosome	xy06_68_14.067-17.102
Chromosome	xy06_69_10.067-20.036
Chromosome	xy06_7_10.020-34.007
Chromosome	xy06_70_10.081-20.070
Chromosome	xy06_70_11.088-17.086
Chromosome	xy06_71_10.089-20.072
Chromosome	xy06_72_10.031-19.008
Chromosome	xy06_73_10.038-19.013
Chromosome	xy06_74_10.057-19.015
Chromosome	xy06_74_14.035-18.034
Chromosome	xy06_75_10.027-19.021
Chromosome	xy06_75_11.024-19.041
Chromosome	xy06_75_15.017-18.018
Chromosome	xy06_76_10.059-19.032
Chromosome	xy06_76_12.058-17.032
Chromosome	xy06_76_15.032-17.046
Chromosome	xy06_77_10.065-19.038
Chromosome	xy06_78_10.083-19.044
Chromosome	xy06_79_10.048-19.045
Chromosome	xy06_8_10.113-34.013
Chromosome	xy06_8_13.106-34.040
Chromosome	xy06_80_10.056-19.068
Chromosome	xy06_80_15.062-17.057
Chromosome	xy06_81_10.091-19.086
Chromosome	xy06_82_10.115-19.116
Chromosome	xy06_83_10.127-19.117
Chromosome	xy06_84_10.152-19.159
Chromosome	xy06_85_10.161-19.160
Chromosome	xy06_86_10.166-19.167
Chromosome	xy06_87_10.018-18.000
Chromosome	xy06_87_14.009-18.001
