time,sigma,variable,value,μ
50.750750750750754,5.0,Dead,0.0,25.0
51.051051051051054,5.0,Dead,0.0,25.0
51.351351351351354,5.0,Dead,0.0,25.0
51.651651651651655,5.0,Dead,0.0,25.0
51.951951951951955,5.0,Dead,0.0,25.0
52.252252252252255,5.0,Dead,0.0,25.0
52.552552552552555,5.0,Dead,0.0,25.0
52.852852852852855,5.0,Dead,0.0,25.0
53.153153153153156,5.0,Dead,0.0,25.0
53.453453453453456,5.0,Dead,0.0,25.0
53.753753753753756,5.0,Dead,0.0,25.0
54.054054054054056,5.0,Dead,0.001,25.0
54.354354354354356,5.0,Dead,0.001,25.0
54.65465465465466,5.0,Dead,0.001,25.0
54.95495495495496,5.0,Dead,0.001,25.0
55.25525525525526,5.0,Dead,0.001,25.0
55.55555555555556,5.0,Dead,0.001,25.0
55.85585585585586,5.0,Dead,0.001,25.0
56.15615615615616,5.0,Dead,0.001,25.0
56.45645645645646,5.0,Dead,0.001,25.0
56.75675675675676,5.0,Dead,0.001,25.0
57.05705705705706,5.0,Dead,0.001,25.0
57.35735735735736,5.0,Dead,0.001,25.0
57.65765765765766,5.0,Dead,0.001,25.0
57.95795795795796,5.0,Dead,0.001,25.0
58.25825825825826,5.0,Dead,0.001,25.0
58.55855855855856,5.0,Dead,0.001,25.0
58.85885885885886,5.0,Dead,0.001,25.0
59.15915915915916,5.0,Dead,0.001,25.0
59.45945945945946,5.0,Dead,0.001,25.0
59.75975975975976,5.0,Dead,0.001,25.0
60.06006006006006,5.0,Dead,0.001,25.0
60.36036036036036,5.0,Dead,0.001,25.0
60.66066066066066,5.0,Dead,0.001,25.0
60.96096096096096,5.0,Dead,0.001,25.0
61.26126126126126,5.0,Dead,0.001,25.0
61.56156156156156,5.0,Dead,0.001,25.0
61.86186186186186,5.0,Dead,0.001,25.0
62.16216216216216,5.0,Dead,0.001,25.0
62.46246246246246,5.0,Dead,0.001,25.0
62.76276276276276,5.0,Dead,0.001,25.0
63.06306306306306,5.0,Dead,0.001,25.0
63.36336336336336,5.0,Dead,0.001,25.0
63.66366366366366,5.0,Dead,0.001,25.0
63.96396396396396,5.0,Dead,0.001,25.0
64.26426426426427,5.0,Dead,0.001,25.0
64.56456456456456,5.0,Dead,0.001,25.0
64.86486486486487,5.0,Dead,0.001,25.0
65.16516516516516,5.0,Dead,0.001,25.0
65.46546546546547,5.0,Dead,0.001,25.0
65.76576576576576,5.0,Dead,0.001,25.0
66.06606606606607,5.0,Dead,0.001,25.0
66.36636636636636,5.0,Dead,0.001,25.0
66.66666666666667,5.0,Dead,0.001,25.0
66.96696696696696,5.0,Dead,0.001,25.0
67.26726726726727,5.0,Dead,0.001,25.0
67.56756756756756,5.0,Dead,0.001,25.0
67.86786786786787,5.0,Dead,0.001,25.0
68.16816816816817,5.0,Dead,0.001,25.0
68.46846846846847,5.0,Dead,0.001,25.0
68.76876876876877,5.0,Dead,0.001,25.0
69.06906906906907,5.0,Dead,0.001,25.0
69.36936936936937,5.0,Dead,0.001,25.0
69.66966966966967,5.0,Dead,0.001,25.0
69.96996996996997,5.0,Dead,0.001,25.0
70.27027027027027,5.0,Dead,0.001,25.0
70.57057057057057,5.0,Dead,0.001,25.0
70.87087087087087,5.0,Dead,0.001,25.0
71.17117117117117,5.0,Dead,0.001,25.0
71.47147147147147,5.0,Dead,0.001,25.0
71.77177177177177,5.0,Dead,0.001,25.0
72.07207207207207,5.0,Dead,0.001,25.0
72.37237237237237,5.0,Dead,0.001,25.0
72.67267267267268,5.0,Dead,0.001,25.0
72.97297297297297,5.0,Dead,0.001,25.0
73.27327327327328,5.0,Dead,0.001,25.0
73.57357357357357,5.0,Dead,0.001,25.0
73.87387387387388,5.0,Dead,0.001,25.0
74.17417417417417,5.0,Dead,0.001,25.0
74.47447447447448,5.0,Dead,0.001,25.0
74.77477477477477,5.0,Dead,0.001,25.0
75.07507507507508,5.0,Dead,0.001,25.0
75.37537537537537,5.0,Dead,0.001,25.0
75.67567567567568,5.0,Dead,0.001,25.0
75.97597597597597,5.0,Dead,0.001,25.0
76.27627627627628,5.0,Dead,0.001,25.0
76.57657657657657,5.0,Dead,0.001,25.0
76.87687687687688,5.0,Dead,0.001,25.0
77.17717717717717,5.0,Dead,0.001,25.0
77.47747747747748,5.0,Dead,0.001,25.0
77.77777777777777,5.0,Dead,0.001,25.0
78.07807807807808,5.0,Dead,0.001,25.0
78.37837837837837,5.0,Dead,0.001,25.0
78.67867867867868,5.0,Dead,0.001,25.0
78.97897897897897,5.0,Dead,0.001,25.0
79.27927927927928,5.0,Dead,0.001,25.0
79.57957957957957,5.0,Dead,0.001,25.0
79.87987987987988,5.0,Dead,0.001,25.0
80.18018018018019,5.0,Dead,0.001,25.0
80.48048048048048,5.0,Dead,0.001,25.0
80.78078078078079,5.0,Dead,0.001,25.0
81.08108108108108,5.0,Dead,0.001,25.0
81.38138138138139,5.0,Dead,0.001,25.0
81.68168168168168,5.0,Dead,0.001,25.0
81.98198198198199,5.0,Dead,0.001,25.0
82.28228228228228,5.0,Dead,0.001,25.0
82.58258258258259,5.0,Dead,0.001,25.0
82.88288288288288,5.0,Dead,0.001,25.0
83.18318318318319,5.0,Dead,0.001,25.0
83.48348348348348,5.0,Dead,0.001,25.0
83.78378378378379,5.0,Dead,0.001,25.0
84.08408408408408,5.0,Dead,0.001,25.0
84.38438438438439,5.0,Dead,0.001,25.0
84.68468468468468,5.0,Dead,0.001,25.0
84.98498498498499,5.0,Dead,0.001,25.0
85.28528528528528,5.0,Dead,0.001,25.0
85.58558558558559,5.0,Dead,0.001,25.0
85.88588588588588,5.0,Dead,0.001,25.0
86.18618618618619,5.0,Dead,0.001,25.0
86.48648648648648,5.0,Dead,0.001,25.0
86.78678678678679,5.0,Dead,0.001,25.0
87.08708708708708,5.0,Dead,0.001,25.0
87.38738738738739,5.0,Dead,0.001,25.0
87.68768768768768,5.0,Dead,0.001,25.0
87.98798798798799,5.0,Dead,0.001,25.0
88.28828828828829,5.0,Dead,0.001,25.0
88.58858858858859,5.0,Dead,0.001,25.0
88.88888888888889,5.0,Dead,0.001,25.0
89.1891891891892,5.0,Dead,0.001,25.0
89.48948948948949,5.0,Dead,0.001,25.0
89.7897897897898,5.0,Dead,0.001,25.0
90.09009009009009,5.0,Dead,0.001,25.0
90.3903903903904,5.0,Dead,0.001,25.0
90.69069069069069,5.0,Dead,0.001,25.0
90.990990990991,5.0,Dead,0.001,25.0
91.29129129129129,5.0,Dead,0.001,25.0
91.5915915915916,5.0,Dead,0.001,25.0
91.89189189189189,5.0,Dead,0.001,25.0
92.1921921921922,5.0,Dead,0.001,25.0
92.49249249249249,5.0,Dead,0.001,25.0
92.7927927927928,5.0,Dead,0.001,25.0
93.09309309309309,5.0,Dead,0.001,25.0
93.3933933933934,5.0,Dead,0.001,25.0
93.69369369369369,5.0,Dead,0.001,25.0
93.993993993994,5.0,Dead,0.001,25.0
94.29429429429429,5.0,Dead,0.001,25.0
94.5945945945946,5.0,Dead,0.001,25.0
94.89489489489489,5.0,Dead,0.001,25.0
95.1951951951952,5.0,Dead,0.001,25.0
95.49549549549549,5.0,Dead,0.001,25.0
95.7957957957958,5.0,Dead,0.001,25.0
96.09609609609609,5.0,Dead,0.001,25.0
96.3963963963964,5.0,Dead,0.001,25.0
96.69669669669669,5.0,Dead,0.001,25.0
96.996996996997,5.0,Dead,0.001,25.0
97.29729729729729,5.0,Dead,0.001,25.0
97.5975975975976,5.0,Dead,0.001,25.0
97.89789789789789,5.0,Dead,0.001,25.0
98.1981981981982,5.0,Dead,0.001,25.0
98.49849849849849,5.0,Dead,0.001,25.0
98.7987987987988,5.0,Dead,0.001,25.0
99.09909909909909,5.0,Dead,0.002,25.0
99.3993993993994,5.0,Dead,0.002,25.0
99.69969969969969,5.0,Dead,0.002,25.0
100.0,5.0,Dead,0.003,25.0
100.30030030030031,5.0,Dead,0.004,25.0
100.6006006006006,5.0,Dead,0.004,25.0
100.90090090090091,5.0,Dead,0.004,25.0
101.2012012012012,5.0,Dead,0.004,25.0
101.50150150150151,5.0,Dead,0.004,25.0
101.8018018018018,5.0,Dead,0.004,25.0
102.10210210210211,5.0,Dead,0.004,25.0
102.4024024024024,5.0,Dead,0.004,25.0
102.70270270270271,5.0,Dead,0.004,25.0
103.003003003003,5.0,Dead,0.004,25.0
103.30330330330331,5.0,Dead,0.004,25.0
103.6036036036036,5.0,Dead,0.004,25.0
103.90390390390391,5.0,Dead,0.004,25.0
104.2042042042042,5.0,Dead,0.004,25.0
104.50450450450451,5.0,Dead,0.004,25.0
104.8048048048048,5.0,Dead,0.004,25.0
105.10510510510511,5.0,Dead,0.004,25.0
105.4054054054054,5.0,Dead,0.004,25.0
105.70570570570571,5.0,Dead,0.005,25.0
106.006006006006,5.0,Dead,0.005,25.0
106.30630630630631,5.0,Dead,0.005,25.0
106.6066066066066,5.0,Dead,0.006,25.0
106.90690690690691,5.0,Dead,0.006,25.0
107.2072072072072,5.0,Dead,0.006,25.0
107.50750750750751,5.0,Dead,0.006,25.0
107.8078078078078,5.0,Dead,0.006,25.0
108.10810810810811,5.0,Dead,0.006,25.0
108.4084084084084,5.0,Dead,0.006,25.0
108.70870870870871,5.0,Dead,0.006,25.0
109.009009009009,5.0,Dead,0.006,25.0
109.30930930930931,5.0,Dead,0.006,25.0
109.6096096096096,5.0,Dead,0.006,25.0
109.90990990990991,5.0,Dead,0.006,25.0
110.2102102102102,5.0,Dead,0.006,25.0
110.51051051051051,5.0,Dead,0.006,25.0
110.8108108108108,5.0,Dead,0.006,25.0
111.11111111111111,5.0,Dead,0.006,25.0
111.41141141141141,5.0,Dead,0.006,25.0
111.71171171171171,5.0,Dead,0.006,25.0
112.01201201201201,5.0,Dead,0.006,25.0
112.31231231231232,5.0,Dead,0.006,25.0
112.61261261261261,5.0,Dead,0.007,25.0
112.91291291291292,5.0,Dead,0.007,25.0
113.21321321321321,5.0,Dead,0.007,25.0
113.51351351351352,5.0,Dead,0.008,25.0
113.81381381381381,5.0,Dead,0.008,25.0
114.11411411411412,5.0,Dead,0.008,25.0
114.41441441441441,5.0,Dead,0.008,25.0
114.71471471471472,5.0,Dead,0.008,25.0
115.01501501501501,5.0,Dead,0.008,25.0
115.31531531531532,5.0,Dead,0.008,25.0
115.61561561561561,5.0,Dead,0.008,25.0
115.91591591591592,5.0,Dead,0.008,25.0
116.21621621621621,5.0,Dead,0.008,25.0
116.51651651651652,5.0,Dead,0.008,25.0
116.81681681681681,5.0,Dead,0.008,25.0
117.11711711711712,5.0,Dead,0.008,25.0
117.41741741741741,5.0,Dead,0.008,25.0
117.71771771771772,5.0,Dead,0.008,25.0
118.01801801801801,5.0,Dead,0.008,25.0
118.31831831831832,5.0,Dead,0.008,25.0
118.61861861861861,5.0,Dead,0.008,25.0
118.91891891891892,5.0,Dead,0.008,25.0
119.21921921921921,5.0,Dead,0.01,25.0
119.51951951951952,5.0,Dead,0.01,25.0
119.81981981981981,5.0,Dead,0.01,25.0
120.12012012012012,5.0,Dead,0.012,25.0
120.42042042042043,5.0,Dead,0.013,25.0
